nama makanan,kalori,lemak,karbohidrat,protein,satuan,angka_satuan,link,status
ayam bakar,167.0,6.63,0.0,25.01,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/daging-ayam-(panggang-bakar-dimasak)?portionid=57230&portionamount=100,000",1
ayam betutu,212.0,17.4,3.16,11.3,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-betutu?portionid=60226198&portionamount=100,000",1
ayam goreng,260.0,14.55,10.76,21.93,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-goreng?portionid=10671217&portionamount=100,000",1
ayam pop,170.0,9.0,5.0,19.0,100 g,100.0,https://www.fatsecret.co.id/kalori-gizi/pagi-sore/ayam-pop-paha/100g,1
bakso,189.0,12.28,0.26,18.04,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bakso-dengan-saus-(campuran)?portionid=50977&portionamount=100,000",1
coto makassar,120.0,6.33,5.36,10.54,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/coto-makassar?portionid=11043113&portionamount=100,000",1
gado gado,132.0,7.41,10.9,7.14,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/gado-gado?portionid=8730723&portionamount=100,000",1
gudeg,127.0,4.71,22.54,1.82,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/gudeg?portionid=8730706&portionamount=100,000",1
nasi goreng,168.0,6.23,21.06,6.3,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/nasi-goreng?portionid=53779&portionamount=100,000",1
pempek,195.0,5.2,23.58,12.61,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/pempek?portionid=4969140&portionamount=100,000",1
rawon,119.0,7.4,3.48,9.6,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/rawon?portionid=8730601&portionamount=100,000",1
rendang,195.0,11.07,4.49,19.68,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/rendang?portionid=5737373&portionamount=100,000",1
sate madura,225.0,14.82,4.87,19.54,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sate-ayam?portionid=4969313&portionamount=100,000",1
sate padang,161.0,6.63,6.79,18.01,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sate-padang?portionid=11001064&portionamount=100,000",1
soto,130.0,6.19,8.11,9.96,100 gram (g),100.0,"https://www.fatsecret.co.id/kalori-gizi/umum/soto-ayam?portionid=5702665&portionamount=100,000",1
